index,stream,main_stream,type,distance_junction_from_receiving_water_mouth
0,ableiter_geierswalder_see,schwarze_elster,tributary,78
1,ableiter_lohsa_i,kleine_spree,tributary,18
2,ableiter_senftenberger_see,schwarze_elster,tributary,67
3,altes_schwarzwasser,hoyerswerdaer_schwarzwasser,tributary,5
4,berste,spree,tributary,60
5,berthelsdorfer_wasser,pliessnitz,tributary,20
6,buchholzer_fliess,greifenhainer_fliess,tributary,14
7,dobra,suedumfluter,tributary,4
8,elligastbach,grosse_roeder,tributary,17.5
9,foehrenfliess,lausitzer_neisse,tributary,74
10,geisslitz,grosse_roeder,tributary,2
11,goeritzer_muehlenfliess,vetschauer_muehlenfliess,tributary,1
12,grano_buderoser_muehlenfliess,lausitzer_neisse,tributary,7
13,greifenhainer_fliess,suedumfluter,tributary,10
14,grosse_roeder,schwarze_elster,tributary,31
15,hammergraben,schwarze_elster,tributary,43
16,hammergraben_1,malxe_spree,tributary,5
17,hoyerswerdaer_schwarzwasser,schwarze_elster,tributary,95
18,kleine_elster,schwarze_elster,tributary,19
19,kleine_roeder_1,schwarze_elster,tributary,26
20,kleine_spree,spree,tributary,147
21,klosterwasser,schwarze_elster,tributary,109
22,koselmuehlenfliess,priorgraben,tributary,13
23,kotitzer_wasser,loebauer_wasser,tributary,3
24,kuepper,lausitzer_neisse,tributary,186
25,landwasser,mandau,tributary,9
26,langes_wasser,hoyerswerdaer_schwarzwasser,tributary,33
27,loebauer_wasser,spree,tributary,187
28,lomschanke,kleine_spree,tributary,32
29,lubsza,lausitzer_neisse,tributary,15
30,malschwitzer_kleine_spree,spree,tributary,190
31,malxe,lausitzer_neisse,tributary,40
32,malxe_spree,nordumfluter,tributary,25
33,mandau,lausitzer_neisse,tributary,194
34,neues_buchholzer_fliess,buchholzer_fliess,tributary,4
35,nordumfluter,spree,tributary,59
36,pliessnitz,lausitzer_neisse,tributary,164
37,poessnitz,schwarze_elster,tributary,62
38,priorgraben,greifenhainer_fliess,tributary,2
39,promnitz,grosse_roeder,tributary,52
40,pulsnitz,schwarze_elster,tributary,35
41,rainitza,schwarze_elster,tributary,73
42,rosenbach,spree,tributary,234
43,rosenbach,spree,tributary,234
44,rothwasser,lausitzer_neisse,tributary,154.2
45,ruhlander_schwarzwasser,schwarze_elster,tributary,57
46,schacke,kleine_elster,tributary,17
47,schrotbach,lausitzer_neisse,tributary,85.5
48,schwarze_roeder,grosse_roeder,tributary,81
49,schwarzer_schoeps,spree,tributary,161
50,schwarzes_fliess,lausitzer_neisse,tributary,12
51,steinbach,grosse_roeder,tributary,86
52,steindoerfler_wasser_(drehsaer_wasser),kotitzer_wasser,tributary,8
53,suedumfluter,spree,tributary,72
54,verlegtes_tranitzfliess,hammergraben_1,tributary,20.8
55,vetschauer_muehlenfliess,suedumfluter,tributary,8
56,walkmuehlgraben,spree,tributary,0
57,weisser_schoeps,schwarzer_schoeps,tributary,17
58,wittig,lausitzer_neisse,tributary,168
59,wudritz,spree,tributary,67
60,zuleiter_sb_baerwalde_(spree),schwarzer_schoeps,tributary,5
61,oder,lausitzer_neisse,tributary,0.1
62,nordumfluter,spree,distributary,90.5
63,suedumfluter,spree,distributary,88.5
64,dahme_umflut_kanal,spree,distributary,41.05
65,priorgraben,spree,distributary,117.5
66,kleine_roeder_1,grosse_roeder,distributary,18.1
67,geisslitz,grosse_roeder,distributary,18.1
68,kleine_spree,spree,distributary,188.7
69,hammergraben_1,spree,distributary,109.5
70,waldgraben,spree,distributary,53.2
71,malschwitzer_kleine_spree,spree,distributary,197
